institution_code,program_code,career_slug,career_points,evidence_level,explanation,source_title,source_url,official_program_url,reviewed_at,active
BMCC,CS,database-administrator,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,network-systems-administrator,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-network-architect,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-support-specialist,50,strong,"BMCC lists computer user and network support careers for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,web-digital-interface-designer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-systems-engineer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,web-administrator,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,gis-technologist,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,data-warehousing-specialist,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,business-intelligence-analyst,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,it-project-manager,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,clinical-data-manager,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-hardware-engineer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,credit-authorizer,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-information-research-scientist,50,strong,"BMCC lists this career for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,CS,computer-science-teacher,50,strong,"BMCC lists teaching as a career direction for Computer Science graduates.",BMCC Computer Science A.S.,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,https://www.bmcc.cuny.edu/academics/departments/cis/computer-science/,2026-08-21,true
BMCC,NUR_AAS,registered-nurse,50,strong,"BMCC's Nursing A.A.S. prepares students for professional nursing practice and eligibility for the registered-nurse licensure pathway.",BMCC Nursing Program,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/,https://www.bmcc.cuny.edu/academics/departments/nursing/nursing-program/,2026-08-21,true
