institution_code,program_code,onet_soc_code,occupation_title,display_order,source
BMCC,CIS,15-1251.00,Computer Programmers,70,https://www.onetonline.org/link/summary/15-1251.00
BMCC,CIS,15-2051.01,Business Intelligence Analysts,80,https://www.onetonline.org/link/summary/15-2051.01
BMCC,CIS,13-1111.00,Management Analysts,90,https://www.onetonline.org/link/summary/13-1111.00
BMCC,CNT,15-1244.00,Network and Computer Systems Administrators,10,https://www.onetonline.org/link/summary/15-1244.00
BMCC,CNT,15-1241.00,Computer Network Architects,20,https://www.onetonline.org/link/summary/15-1241.00
BMCC,CNT,15-1231.00,Computer Network Support Specialists,30,https://www.onetonline.org/link/summary/15-1231.00
BMCC,CNT,15-1232.00,Computer User Support Specialists,40,https://www.onetonline.org/link/summary/15-1232.00
BMCC,CNT,15-1212.00,Information Security Analysts,50,https://www.onetonline.org/link/summary/15-1212.00
BMCC,CNT,15-1241.01,Telecommunications Engineering Specialists,60,https://www.onetonline.org/link/summary/15-1241.01
BMCC,CNT,11-3021.00,Computer and Information Systems Managers,70,https://www.onetonline.org/link/summary/11-3021.00
BMCC,CNT,15-1299.08,Computer Systems Engineers/Architects,80,https://www.onetonline.org/link/summary/15-1299.08
BMCC,CNT,15-1299.05,Information Security Engineers,90,https://www.onetonline.org/link/summary/15-1299.05
BMCC,COM_AA,27-3031.00,Public Relations Specialists,10,https://www.onetonline.org/link/summary/27-3031.00
BMCC,COM_AA,11-2032.00,Public Relations Managers,20,https://www.onetonline.org/link/summary/11-2032.00
BMCC,COM_AA,11-2011.00,Advertising and Promotions Managers,30,https://www.onetonline.org/link/summary/11-2011.00
BMCC,COM_AA,27-3023.00,"News Analysts, Reporters, and Journalists",40,https://www.onetonline.org/link/summary/27-3023.00
BMCC,COM_AA,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,50,https://www.onetonline.org/link/summary/27-3011.00
BMCC,COM_AA,27-3042.00,Technical Writers,60,https://www.onetonline.org/link/summary/27-3042.00
BMCC,COM_AA,13-1161.00,Market Research Analysts and Marketing Specialists,70,https://www.onetonline.org/link/summary/13-1161.00
BMCC,COM_AA,27-2012.00,Producers and Directors,80,https://www.onetonline.org/link/summary/27-2012.00
BMCC,COM_AA,13-1121.00,"Meeting, Convention, and Event Planners",90,https://www.onetonline.org/link/summary/13-1121.00
BMCC,COM_AA,13-1151.00,Training and Development Specialists,100,https://www.onetonline.org/link/summary/13-1151.00
BMCC,CRJ_AA,33-3051.00,Police and Sheriff's Patrol Officers,10,https://www.onetonline.org/link/summary/33-3051.00
BMCC,CRJ_AA,33-3012.00,Correctional Officers and Jailers,20,https://www.onetonline.org/link/summary/33-3012.00
BMCC,CRJ_AA,21-1092.00,Probation Officers and Correctional Treatment Specialists,30,https://www.onetonline.org/link/summary/21-1092.00
BMCC,CRJ_AA,33-3021.00,Detectives and Criminal Investigators,40,https://www.onetonline.org/link/summary/33-3021.00
BMCC,CRJ_AA,23-2011.00,Paralegals and Legal Assistants,50,https://www.onetonline.org/link/summary/23-2011.00
BMCC,CRJ_AA,19-4092.00,Forensic Science Technicians,60,https://www.onetonline.org/link/summary/19-4092.00
BMCC,CRJ_AA,33-9021.00,Private Detectives and Investigators,70,https://www.onetonline.org/link/summary/33-9021.00
BMCC,CRJ_AA,33-1012.00,First-Line Supervisors of Police and Detectives,80,https://www.onetonline.org/link/summary/33-1012.00
BMCC,CRJ_AA,13-1199.07,Security Management Specialists,90,https://www.onetonline.org/link/summary/13-1199.07
BMCC,CRJ_AA,33-3011.00,Bailiffs,100,https://www.onetonline.org/link/summary/33-3011.00
BMCC,CYB_CERT,15-1212.00,Information Security Analysts,10,https://www.onetonline.org/link/summary/15-1212.00
BMCC,CYB_CERT,15-1299.04,Penetration Testers,20,https://www.onetonline.org/link/summary/15-1299.04
BMCC,CYB_CERT,15-1299.05,Information Security Engineers,30,https://www.onetonline.org/link/summary/15-1299.05
BMCC,CYB_CERT,15-1299.06,Digital Forensics Analysts,40,https://www.onetonline.org/link/summary/15-1299.06
BMCC,CYB_CERT,15-1241.00,Computer Network Architects,50,https://www.onetonline.org/link/summary/15-1241.00
BMCC,CYB_CERT,15-1244.00,Network and Computer Systems Administrators,60,https://www.onetonline.org/link/summary/15-1244.00
BMCC,CYB_CERT,15-1211.00,Computer Systems Analysts,70,https://www.onetonline.org/link/summary/15-1211.00
BMCC,CYB_CERT,11-3021.00,Computer and Information Systems Managers,80,https://www.onetonline.org/link/summary/11-3021.00
BMCC,CYB_CERT,13-1199.07,Security Management Specialists,90,https://www.onetonline.org/link/summary/13-1199.07
BMCC,DMK_AS,11-2021.00,Marketing Managers,10,https://www.onetonline.org/link/summary/11-2021.00
BMCC,DMK_AS,13-1161.00,Market Research Analysts and Marketing Specialists,20,https://www.onetonline.org/link/summary/13-1161.00
BMCC,DMK_AS,11-2011.00,Advertising and Promotions Managers,30,https://www.onetonline.org/link/summary/11-2011.00
BMCC,DMK_AS,27-3031.00,Public Relations Specialists,40,https://www.onetonline.org/link/summary/27-3031.00
BMCC,DMK_AS,13-1161.01,Search Marketing Strategists,50,https://www.onetonline.org/link/summary/13-1161.01
BMCC,DMK_AS,15-1255.00,Web and Digital Interface Designers,60,https://www.onetonline.org/link/summary/15-1255.00
BMCC,DMK_AS,11-2022.00,Sales Managers,70,https://www.onetonline.org/link/summary/11-2022.00
BMCC,DMK_AS,11-2032.00,Public Relations Managers,80,https://www.onetonline.org/link/summary/11-2032.00
BMCC,DMK_AS,13-1199.06,Online Merchants,90,https://www.onetonline.org/link/summary/13-1199.06
BMCC,DS_AS,15-2051.00,Data Scientists,10,https://www.onetonline.org/link/summary/15-2051.00
BMCC,DS_AS,15-2041.00,Statisticians,20,https://www.onetonline.org/link/summary/15-2041.00
BMCC,DS_AS,15-2031.00,Operations Research Analysts,30,https://www.onetonline.org/link/summary/15-2031.00
BMCC,DS_AS,15-1211.00,Computer Systems Analysts,40,https://www.onetonline.org/link/summary/15-1211.00
BMCC,DS_AS,15-1252.00,Software Developers,50,https://www.onetonline.org/link/summary/15-1252.00
BMCC,DS_AS,13-1111.00,Management Analysts,60,https://www.onetonline.org/link/summary/13-1111.00
BMCC,DS_AS,15-1221.00,Computer and Information Research Scientists,70,https://www.onetonline.org/link/summary/15-1221.00
BMCC,DS_AS,15-1243.01,Data Warehousing Specialists,80,https://www.onetonline.org/link/summary/15-1243.01
BMCC,DS_AS,11-3021.00,Computer and Information Systems Managers,90,https://www.onetonline.org/link/summary/11-3021.00
BMCC,ECO_AA,19-3011.00,Economists,10,https://www.onetonline.org/link/summary/19-3011.00
BMCC,ECO_AA,13-2051.00,Financial and Investment Analysts,20,https://www.onetonline.org/link/summary/13-2051.00
BMCC,ECO_AA,13-2052.00,Personal Financial Advisors,30,https://www.onetonline.org/link/summary/13-2052.00
BMCC,ECO_AA,13-1111.00,Management Analysts,40,https://www.onetonline.org/link/summary/13-1111.00
BMCC,ECO_AA,13-1161.00,Market Research Analysts and Marketing Specialists,50,https://www.onetonline.org/link/summary/13-1161.00
BMCC,ECO_AA,13-2011.00,Accountants and Auditors,60,https://www.onetonline.org/link/summary/13-2011.00
BMCC,ECO_AA,13-2041.00,Credit Analysts,70,https://www.onetonline.org/link/summary/13-2041.00
BMCC,ECO_AA,13-2031.00,Budget Analysts,80,https://www.onetonline.org/link/summary/13-2031.00
BMCC,ECO_AA,11-1021.00,General and Operations Managers,90,https://www.onetonline.org/link/summary/11-1021.00
BMCC,ESC_AS,17-2051.00,Civil Engineers,10,https://www.onetonline.org/link/summary/17-2051.00
BMCC,ESC_AS,17-2071.00,Electrical Engineers,20,https://www.onetonline.org/link/summary/17-2071.00
BMCC,ESC_AS,17-2072.00,Electronics Engineers,30,https://www.onetonline.org/link/summary/17-2072.00
BMCC,ESC_AS,17-2112.00,Industrial Engineers,40,https://www.onetonline.org/link/summary/17-2112.00
BMCC,ESC_AS,17-2131.00,Materials Engineers,50,https://www.onetonline.org/link/summary/17-2131.00
BMCC,ESC_AS,17-2141.00,Mechanical Engineers,60,https://www.onetonline.org/link/summary/17-2141.00
BMCC,ESC_AS,17-2011.00,Aerospace Engineers,70,https://www.onetonline.org/link/summary/17-2011.00
BMCC,ESC_AS,17-2141.02,Automotive Engineers,80,https://www.onetonline.org/link/summary/17-2141.02
BMCC,ESC_AS,17-2199.03,Energy Engineers,90,https://www.onetonline.org/link/summary/17-2199.03
BMCC,FMG_AS,11-3031.00,Financial Managers,10,https://www.onetonline.org/link/summary/11-3031.00
BMCC,FMG_AS,13-2051.00,Financial and Investment Analysts,20,https://www.onetonline.org/link/summary/13-2051.00
BMCC,FMG_AS,13-2052.00,Personal Financial Advisors,30,https://www.onetonline.org/link/summary/13-2052.00
BMCC,FMG_AS,13-2011.00,Accountants and Auditors,40,https://www.onetonline.org/link/summary/13-2011.00
BMCC,FMG_AS,13-2041.00,Credit Analysts,50,https://www.onetonline.org/link/summary/13-2041.00
BMCC,FMG_AS,13-2053.00,Insurance Underwriters,60,https://www.onetonline.org/link/summary/13-2053.00
BMCC,FMG_AS,13-2061.00,Financial Examiners,70,https://www.onetonline.org/link/summary/13-2061.00
BMCC,FMG_AS,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",80,https://www.onetonline.org/link/summary/41-3031.00
BMCC,FMG_AS,13-2082.00,Tax Preparers,90,https://www.onetonline.org/link/summary/13-2082.00
BMCC,FSC_AS,19-4092.00,Forensic Science Technicians,10,https://www.onetonline.org/link/summary/19-4092.00
BMCC,FSC_AS,19-2031.00,Chemists,20,https://www.onetonline.org/link/summary/19-2031.00
BMCC,FSC_AS,19-4031.00,Chemical Technicians,30,https://www.onetonline.org/link/summary/19-4031.00
BMCC,FSC_AS,19-1021.00,Biochemists and Biophysicists,40,https://www.onetonline.org/link/summary/19-1021.00
BMCC,FSC_AS,19-1042.00,Medical Scientists,50,https://www.onetonline.org/link/summary/19-1042.00
BMCC,FSC_AS,29-2011.00,Medical and Clinical Laboratory Technologists,60,https://www.onetonline.org/link/summary/29-2011.00
BMCC,FSC_AS,29-2012.00,Medical and Clinical Laboratory Technicians,70,https://www.onetonline.org/link/summary/29-2012.00
BMCC,FSC_AS,33-3021.00,Detectives and Criminal Investigators,80,https://www.onetonline.org/link/summary/33-3021.00
BMCC,FSC_AS,13-1041.06,Coroners,90,https://www.onetonline.org/link/summary/13-1041.06
BMCC,GER_AS,21-1093.00,Social and Human Service Assistants,10,https://www.onetonline.org/link/summary/21-1093.00
BMCC,GER_AS,21-1022.00,Healthcare Social Workers,20,https://www.onetonline.org/link/summary/21-1022.00
BMCC,GER_AS,31-1121.00,Home Health Aides,30,https://www.onetonline.org/link/summary/31-1121.00
BMCC,GER_AS,31-1122.00,Personal Care Aides,40,https://www.onetonline.org/link/summary/31-1122.00
BMCC,GER_AS,11-9111.00,Medical and Health Services Managers,50,https://www.onetonline.org/link/summary/11-9111.00
BMCC,GER_AS,39-9032.00,Recreation Workers,60,https://www.onetonline.org/link/summary/39-9032.00
BMCC,GER_AS,21-1094.00,Community Health Workers,70,https://www.onetonline.org/link/summary/21-1094.00
BMCC,GER_AS,29-1141.00,Registered Nurses,80,https://www.onetonline.org/link/summary/29-1141.00
BMCC,GER_AS,11-9151.00,Social and Community Service Managers,90,https://www.onetonline.org/link/summary/11-9151.00
BMCC,GWS_AA,11-9151.00,Social and Community Service Managers,10,https://www.onetonline.org/link/summary/11-9151.00
BMCC,GWS_AA,13-1071.00,Human Resources Specialists,20,https://www.onetonline.org/link/summary/13-1071.00
BMCC,GWS_AA,21-1093.00,Social and Human Service Assistants,30,https://www.onetonline.org/link/summary/21-1093.00
BMCC,GWS_AA,21-1094.00,Community Health Workers,40,https://www.onetonline.org/link/summary/21-1094.00
BMCC,GWS_AA,27-3031.00,Public Relations Specialists,50,https://www.onetonline.org/link/summary/27-3031.00
BMCC,GWS_AA,27-3043.00,Writers and Authors,60,https://www.onetonline.org/link/summary/27-3043.00
BMCC,GWS_AA,23-2011.00,Paralegals and Legal Assistants,70,https://www.onetonline.org/link/summary/23-2011.00
BMCC,GWS_AA,13-1151.00,Training and Development Specialists,80,https://www.onetonline.org/link/summary/13-1151.00
BMCC,GWS_AA,21-1092.00,Probation Officers and Correctional Treatment Specialists,90,https://www.onetonline.org/link/summary/21-1092.00
BMCC,HIS_AA,19-3093.00,Historians,10,https://www.onetonline.org/link/summary/19-3093.00
BMCC,HIS_AA,25-4011.00,Archivists,20,https://www.onetonline.org/link/summary/25-4011.00
BMCC,HIS_AA,25-4012.00,Curators,30,https://www.onetonline.org/link/summary/25-4012.00
BMCC,HIS_AA,25-4013.00,Museum Technicians and Conservators,40,https://www.onetonline.org/link/summary/25-4013.00
BMCC,HIS_AA,25-2031.00,Secondary School Teachers,50,https://www.onetonline.org/link/summary/25-2031.00
BMCC,HIS_AA,25-4022.00,Librarians and Media Collections Specialists,60,https://www.onetonline.org/link/summary/25-4022.00
BMCC,HIS_AA,23-2011.00,Paralegals and Legal Assistants,70,https://www.onetonline.org/link/summary/23-2011.00
BMCC,HIS_AA,27-3043.00,Writers and Authors,80,https://www.onetonline.org/link/summary/27-3043.00
BMCC,HIS_AA,19-3094.00,Political Scientists,90,https://www.onetonline.org/link/summary/19-3094.00
BMCC,HMS_AS,21-1093.00,Social and Human Service Assistants,10,https://www.onetonline.org/link/summary/21-1093.00
BMCC,HMS_AS,21-1094.00,Community Health Workers,20,https://www.onetonline.org/link/summary/21-1094.00
BMCC,HMS_AS,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,30,https://www.onetonline.org/link/summary/21-1011.00
BMCC,HMS_AS,21-1021.00,"Child, Family, and School Social Workers",40,https://www.onetonline.org/link/summary/21-1021.00
BMCC,HMS_AS,21-1022.00,Healthcare Social Workers,50,https://www.onetonline.org/link/summary/21-1022.00
BMCC,HMS_AS,21-1015.00,Rehabilitation Counselors,60,https://www.onetonline.org/link/summary/21-1015.00
BMCC,HMS_AS,21-1092.00,Probation Officers and Correctional Treatment Specialists,70,https://www.onetonline.org/link/summary/21-1092.00
BMCC,HMS_AS,43-4061.00,"Eligibility Interviewers, Government Programs",80,https://www.onetonline.org/link/summary/43-4061.00
BMCC,HMS_AS,11-9151.00,Social and Community Service Managers,90,https://www.onetonline.org/link/summary/11-9151.00
JOHNJAY,JJAY_CSIS_BS,15-1212.00,Information Security Analysts,10,https://www.onetonline.org/link/summary/15-1212.00
JOHNJAY,JJAY_CSIS_BS,15-1299.05,Information Security Engineers,20,https://www.onetonline.org/link/summary/15-1299.05
JOHNJAY,JJAY_CSIS_BS,15-1299.04,Penetration Testers,30,https://www.onetonline.org/link/summary/15-1299.04
JOHNJAY,JJAY_CSIS_BS,15-1299.06,Digital Forensics Analysts,40,https://www.onetonline.org/link/summary/15-1299.06
JOHNJAY,JJAY_CSIS_BS,15-1241.00,Computer Network Architects,50,https://www.onetonline.org/link/summary/15-1241.00
JOHNJAY,JJAY_CSIS_BS,11-3021.00,Computer and Information Systems Managers,60,https://www.onetonline.org/link/summary/11-3021.00
JOHNJAY,JJAY_CSIS_BS,15-1211.00,Computer Systems Analysts,70,https://www.onetonline.org/link/summary/15-1211.00
JOHNJAY,JJAY_CSIS_BS,15-1252.00,Software Developers,80,https://www.onetonline.org/link/summary/15-1252.00
JOHNJAY,JJAY_CSIS_BS,15-1251.00,Computer Programmers,90,https://www.onetonline.org/link/summary/15-1251.00
JOHNJAY,JJAY_CSIS_BS,15-1244.00,Network and Computer Systems Administrators,100,https://www.onetonline.org/link/summary/15-1244.00
BMCC,MAT_AS,15-2021.00,Mathematicians,10,https://www.onetonline.org/link/summary/15-2021.00
BMCC,MAT_AS,15-2041.00,Statisticians,20,https://www.onetonline.org/link/summary/15-2041.00
BMCC,MAT_AS,15-2011.00,Actuaries,30,https://www.onetonline.org/link/summary/15-2011.00
BMCC,MAT_AS,15-2031.00,Operations Research Analysts,40,https://www.onetonline.org/link/summary/15-2031.00
BMCC,MAT_AS,15-2051.00,Data Scientists,50,https://www.onetonline.org/link/summary/15-2051.00
BMCC,MAT_AS,13-2051.00,Financial and Investment Analysts,60,https://www.onetonline.org/link/summary/13-2051.00
BMCC,MAT_AS,13-2031.00,Budget Analysts,70,https://www.onetonline.org/link/summary/13-2031.00
BMCC,MAT_AS,25-2031.00,Secondary School Teachers,80,https://www.onetonline.org/link/summary/25-2031.00
BMCC,MAT_AS,19-3011.00,Economists,90,https://www.onetonline.org/link/summary/19-3011.00
BMCC,MMP_AS,15-1255.00,Web and Digital Interface Designers,10,https://www.onetonline.org/link/summary/15-1255.00
BMCC,MMP_AS,15-1254.00,Web Developers,20,https://www.onetonline.org/link/summary/15-1254.00
BMCC,MMP_AS,15-1255.01,Video Game Designers,30,https://www.onetonline.org/link/summary/15-1255.01
BMCC,MMP_AS,27-1014.00,Special Effects Artists and Animators,40,https://www.onetonline.org/link/summary/27-1014.00
BMCC,MMP_AS,27-1024.00,Graphic Designers,50,https://www.onetonline.org/link/summary/27-1024.00
BMCC,MMP_AS,27-4032.00,Film and Video Editors,60,https://www.onetonline.org/link/summary/27-4032.00
BMCC,MMP_AS,27-1011.00,Art Directors,70,https://www.onetonline.org/link/summary/27-1011.00
BMCC,MMP_AS,15-1252.00,Software Developers,80,https://www.onetonline.org/link/summary/15-1252.00
BMCC,MMP_AS,27-4031.00,"Camera Operators, Television, Video, and Film",90,https://www.onetonline.org/link/summary/27-4031.00
BMCC,NUR_AAS,29-1141.00,Registered Nurses,10,https://www.onetonline.org/link/summary/29-1141.00
BMCC,NUR_AAS,29-2061.00,Licensed Practical and Licensed Vocational Nurses,20,https://www.onetonline.org/link/summary/29-2061.00
BMCC,NUR_AAS,29-1171.00,Nurse Practitioners,30,https://www.onetonline.org/link/summary/29-1171.00
BMCC,NUR_AAS,29-1151.00,Nurse Anesthetists,40,https://www.onetonline.org/link/summary/29-1151.00
BMCC,NUR_AAS,29-1161.00,Nurse Midwives,50,https://www.onetonline.org/link/summary/29-1161.00
BMCC,NUR_AAS,11-9111.00,Medical and Health Services Managers,60,https://www.onetonline.org/link/summary/11-9111.00
BMCC,NUR_AAS,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",70,https://www.onetonline.org/link/summary/25-1072.00
BMCC,NUR_AAS,31-1131.00,Nursing Assistants,80,https://www.onetonline.org/link/summary/31-1131.00
BMCC,NUR_AAS,19-5011.00,Occupational Health and Safety Specialists,90,https://www.onetonline.org/link/summary/19-5011.00
BMCC,PHI_AA,23-1011.00,Lawyers,10,https://www.onetonline.org/link/summary/23-1011.00
BMCC,PHI_AA,23-2011.00,Paralegals and Legal Assistants,20,https://www.onetonline.org/link/summary/23-2011.00
BMCC,PHI_AA,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",30,https://www.onetonline.org/link/summary/25-1126.00
BMCC,PHI_AA,27-3043.00,Writers and Authors,40,https://www.onetonline.org/link/summary/27-3043.00
BMCC,PHI_AA,27-3042.00,Technical Writers,50,https://www.onetonline.org/link/summary/27-3042.00
